femalestar,malestar,femalerasi,malerasi,thinam_porutham,kanam_porutham,magendhiram_porutham,sthirthirgam_porutham,yoni_porutham,Rasi_porutham,rasi_adhipathi_porutham,vasiyam_porutham,raji_porutham,vedhai_porutham,target
aswini,aswini,maesam,mesam,0,1,1,0,1,1,1,0,0,1,0
aswini,bharani,maesam,mesam,1,1,0,0,1,1,1,0,1,1,1
aswini,karthigai 1 padham,maesam,mesam,0,1,0,0,1,1,1,0,1,1,0
aswini,karthigai 2 3 4 padham,maesam,rishabam,0,1,0,0,1,0,1,0,1,1,0
aswini,rohini,maesam,rishabam,1,1,1,0,1,0,1,0,1,1,1
aswini,mirugasirisham 1 2 padham,maesam,rishabam,0,1,0,0,1,0,1,0,1,1,0
aswini,mirugasirisham 3 4 padham,maesam,mithunam,0,1,0,0,1,0,0,0,1,1,0
aswini,thiruvadhirai,maesam,mithunam,1,1,0,0,1,0,0,0,1,1,0
aswini,poonarpusham 1 2 3 padham,maesam,mithunam,0,1,1,0,1,0,0,0,1,1,0
aswini,poonarpusham 4 padham,maesam,kadagam,0,1,1,0,1,0,1,0,1,1,0
aswini,poosam,maesam,kadagam,1,1,0,1,1,0,1,0,1,1,1
aswini,ayilyam,maesam,kadagam,0,0,0,0,0,0,0,0,0,0,0
aswini,magam,maesam,simmam,0,0,0,0,0,0,0,0,0,0,0
aswini,pooram,maesam,simmam,1,1,0,1,1,0,1,1,1,1,1
aswini,uthiram 1 padham,maesam,simmam,0,1,0,1,1,0,1,1,1,1,1
aswini,uthiram 2 3 4 padham,maesam,kanni,0,1,0,1,1,0,0,0,1,1,0
aswini,astham,maesam,kanni,1,1,1,1,0,0,0,0,1,1,0
aswini,chithirai 1 2padham,maesam,kanni,0,1,0,1,1,0,0,0,1,1,0
aswini,chithirai 3 4 padham,maesam,thualam,0,1,0,1,1,1,1,0,1,1,1
aswini,swathi,maesam,thualam,1,1,0,1,0,1,1,0,1,1,1
aswini,visagam 1 2 3 padham,maesam,thualam,0,1,1,1,1,1,1,0,1,1,1
